Appointment_Date,Attended,DNA
2025-02-06,1313114,304515
2025-02-07,1252398,275360
2025-02-08,48513,23530
2025-02-09,3464,915
2025-02-10,1473580,303555
2025-02-11,1387513,323735
2025-02-12,1304178,304855
2025-02-13,1289973,304920
2025-02-14,1225646,280230
2025-02-15,46437,23620
2025-02-16,3594,880
2025-02-17,1371468,288045
2025-02-18,1309640,308650
2025-02-19,1235324,286415
2025-02-20,1217317,290145
2025-02-21,1158676,261975
2025-02-22,46535,23260
2025-02-23,3247,980
2025-02-24,1464367,303815
2025-02-25,1393172,326870
2025-02-26,1294766,305800
2025-02-27,1282749,304645
2025-02-28,1245177,283115
2025-03-01,46348,25235
2025-03-02,3722,1035
2025-03-03,1472512,311185
2025-03-04,1386698,325440
2025-03-05,1312929,306090
2025-03-06,1304315,303440
2025-03-07,1247760,275635
2025-03-08,48980,22975
2025-03-09,3837,880
2025-03-10,1491159,301830
2025-03-11,1400154,318915
2025-03-12,1296827,295335
2025-03-13,1297580,301020
2025-03-14,1238024,272905
2025-03-15,48667,23735
2025-03-16,3472,905
2025-03-17,1468662,298955
2025-03-18,1388276,321585
2025-03-19,1274026,292440
2025-03-20,1278262,300085
2025-03-21,1227483,277625
2025-03-22,44393,22805
2025-03-23,3521,795
2025-03-24,1454101,294555
2025-03-25,1368549,317550
2025-03-26,1277585,297375
2025-03-27,1248200,291410
2025-03-28,1183533,263440
2025-03-29,41649,24720
2025-03-30,3052,720
2025-03-31,1338675,282655
2025-04-01,1343858,321600
2025-04-02,1282566,306255
2025-04-03,1275127,300890
2025-04-04,1220626,277590
2025-04-05,75095,38085
2025-04-06,5184,1550
2025-04-07,1392915,295075
2025-04-08,1340286,307970
2025-04-09,1246535,286605
2025-04-10,1227997,291545
2025-04-11,1171586,268540
2025-04-12,67031,34170
2025-04-13,4252,1320
2025-04-14,1362602,278965
2025-04-15,1312800,303445
2025-04-16,1238179,282470
2025-04-17,1206123,273355
2025-04-18,3081,995
2025-04-19,27694,15885
2025-04-20,1541,440
2025-04-21,2894,800
2025-04-22,1426681,349525
2025-04-23,1325336,306620
2025-04-24,1289579,295155
2025-04-25,1220251,268290
2025-04-26,64909,28555
2025-04-27,4328,1395
2025-04-28,1456220,301390
2025-04-29,1372732,328770
2025-04-30,1296449,308700
2025-05-01,1303033,315070
2025-05-02,1224567,279490
2025-05-03,37541,19535
2025-05-04,3256,1065
2025-05-05,2942,1065
2025-05-06,1469094,349730
2025-05-07,1344643,303615
2025-05-08,1300735,293870
2025-05-09,1233964,270390
2025-05-10,51308,22935
2025-05-11,3069,785
2025-05-12,1451353,307800
2025-05-13,1357493,312835
2025-05-14,1273759,287950
2025-05-15,1251508,287535
2025-05-16,1225126,267850
2025-05-17,46984,23245
2025-05-18,3480,1420
2025-05-19,1438224,296210
2025-05-20,1370555,312390
2025-05-21,1271696,290015
2025-05-22,1265487,288735
2025-05-23,1203362,268800
2025-05-24,37173,19340
2025-05-25,2641,510
2025-05-26,3073,885
2025-05-27,1364848,341640
2025-05-28,1251876,295930
2025-05-29,1225675,288020
2025-05-30,1143289,260325
2025-05-31,42223,19775
2025-06-01,2925,590
2025-06-02,1424922,304345
2025-06-03,1359474,314755
2025-06-04,1289970,291530
2025-06-05,1272079,299330
2025-06-06,1134239,249140
2025-06-07,41083,19380
2025-06-08,3034,630
2025-06-09,1437322,291480
2025-06-10,1361693,305615
2025-06-11,1249205,281750
2025-06-12,1257689,293165
2025-06-13,1201902,270465
2025-06-14,42588,21030
2025-06-15,2748,700
2025-06-16,1429509,298635
2025-06-17,1334909,312930
2025-06-18,1247470,292775
2025-06-19,1231589,295150
2025-06-20,1167924,273835
2025-06-21,42204,20835
2025-06-22,2900,965
2025-06-23,1419072,301375
2025-06-24,1353797,317825
2025-06-25,1261006,331835
2025-06-26,1237495,287595
2025-06-27,1174145,270205
2025-06-28,41248,20055
2025-06-29,2669,550
2025-06-30,1393258,298050
2025-07-01,1330365,326805
2025-07-02,1258161,303580
2025-07-03,1254833,295790
2025-07-04,1171897,266495
2025-07-05,41225,18830
2025-07-06,3042,765
2025-07-07,1397935,292390
2025-07-08,1326871,308210
2025-07-09,1261653,292310
2025-07-10,1224026,293485
2025-07-11,1150357,271910
2025-07-12,42406,21420
2025-07-13,2989,685
2025-07-14,1385277,303665
2025-07-15,1309381,316675
2025-07-16,1243250,294585
2025-07-17,1228655,289235
2025-07-18,1158391,263845
2025-07-19,42434,19990
2025-07-20,2730,695
2025-07-21,1378437,298330
2025-07-22,1326379,309785
2025-07-23,1249340,290950
2025-07-24,1215189,312960
2025-07-25,1113130,266685
2025-07-26,40281,18785
2025-07-27,2837,895
2025-07-28,1312343,280635
2025-07-29,1286828,306970
2025-07-30,1235626,294270
2025-07-31,1210541,290230
2025-08-01,1113543,258285
2025-08-02,39621,19025
2025-08-03,3032,775
2025-08-04,1320129,277740
2025-08-05,1283585,299985
2025-08-06,1208832,280615
2025-08-07,1187041,279840
2025-08-08,1097516,246735
2025-08-09,41675,19360
2025-08-10,3032,705
2025-08-11,1306291,278945
2025-08-12,1266019,298705
2025-08-13,1201499,284075
2025-08-14,1176321,275390
2025-08-15,1100816,249710
2025-08-16,42364,20135
2025-08-17,2679,720
2025-08-18,1312151,276870
2025-08-19,1281183,296805
2025-08-20,1217050,284915
2025-08-21,1158008,276420
2025-08-22,1073705,246775
2025-08-23,33271,15560
2025-08-24,2134,505
2025-08-25,2755,985
2025-08-26,1326182,335480
2025-08-27,1234746,292175
2025-08-28,1206799,279955
2025-08-29,1115028,252745
2025-08-30,40910,18330
2025-08-31,2700,680
